accession,phylum,class,order,family,genus
KM607000,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM607001,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM607002,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM607003,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF971864,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM507819,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM091442,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KM091443,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KM091444,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KM360178,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM373208,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ847052,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,
KM226324,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,
KM247287,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM370384,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia
KM190144,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KM199771,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium
KM233151,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HE978309,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ564036,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
KJ564037,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
KJ564038,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
KF562340,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF562341,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ586794,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ586795,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ591604,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ591605,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ748011,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ535721,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ535722,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094020,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094021,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094022,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094023,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094029,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094030,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094031,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KJ094033,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KF676640,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KJ528544,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KJ190157,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ190158,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ668714,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ489010,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KJ489011,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KJ489012,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KJ489013,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KJ135004,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ419279,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KJ173786,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
KJ159566,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
KF981730,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF926093,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KC960489,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacteroides
KF550303,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KC171646,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
KC171647,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
KF598856,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
KF322032,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KC013022,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KC013024,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KC013025,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KC013026,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KC013027,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KC013028,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KC013029,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KF188410,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
JX421753,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
KF024726,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024730,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024723,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024724,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024725,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024727,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024728,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024729,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KF024731,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
JF501022,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
KC690136,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX567312,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JN255163,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia
KC959568,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
KC172839,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KC292020,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
KC292021,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
KC292022,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
KC801932,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX901189,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
KC013021,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
KC013023,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
HQ632859,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,
JQ797329,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
KC522412,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KC117376,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
JX866719,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
JQ086369,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086370,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086371,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086372,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086373,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086374,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086375,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086376,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ086377,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182726,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182727,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182728,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182729,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182730,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182731,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182732,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182733,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182734,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182735,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ182736,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HQ918180,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
JX561091,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JN986844,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JN986845,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JN986846,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX865427,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX880034,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX486087,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
JX867715,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX536493,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX442241,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
HE664024,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX415535,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX415536,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AB647160,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
AB731695,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
JQ617284,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
JX128257,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX128258,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JX128259,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ659259,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc
FR775895,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ867100,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas
HQ665011,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ740790,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740791,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740792,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740793,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740794,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740795,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740796,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740797,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740798,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740799,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740800,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740801,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740802,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740803,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740805,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740806,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740807,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740808,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740809,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740810,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740811,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740812,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ740814,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
JQ513383,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
JN882298,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ031132,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JN673056,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ011317,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JQ011318,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JF734911,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter
JF923796,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia
JF923797,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia
JN035618,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia
HM173637,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HQ829472,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JN593240,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
JN153085,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
JN153086,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
JN192463,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
JN201525,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
EU409559,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
AY739900,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
EU340421,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
JF770475,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HQ403646,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia
JF832915,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella
JF744988,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
JF792674,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
HQ141410,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
HQ141411,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
HQ424691,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
HM029250,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
HM152763,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
HM152764,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
HM152765,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
HM152766,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
HM071924,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
GU295964,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
GU060500,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GQ979703,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
GU339467,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GU247132,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GQ413937,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
GQ413938,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
GQ303259,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GQ303260,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GQ303261,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GQ303262,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GQ303263,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
GQ303264,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
EU078592,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
FJ973624,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
EU877232,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU863408,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU863409,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
FJ429185,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
FJ750948,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU871039,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
EU855793,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
FJ168659,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ168660,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ168661,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ168662,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ174690,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ174691,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ174692,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ174693,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
FJ174694,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
DQ838728,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
EU826470,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
EU876853,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,
EU246945,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
EU652770,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella
EU734173,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella
DQ832317,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
CP000917,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU081845,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
EU438902,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
EU311208,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EU203571,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
DQ003637,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
DQ003638,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
DQ003639,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
DQ003640,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
DQ003641,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
DQ003642,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
EF437941,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
EF579802,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium
DQ453159,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
DQ394806,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
DQ394807,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
DQ394808,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
DQ394809,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
EF455602,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
EF056009,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AB255436,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
DQ340064,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus
DQ490056,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
DQ426904,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia
DQ426905,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia
DQ320509,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
DQ126339,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AY772740,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio
AJ842011,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
AJ556162,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AY605066,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
AP005153,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AP005154,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AY212251,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
AF222060,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum
AJ312240,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
AF335538,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AF195902,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
AF323668,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
AF323669,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
AF323670,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
AF323671,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
AF323672,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
AF323673,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
AF242738,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
AJ251789,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
AP000363,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia
AJ242593,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria
AJ131519,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
AF065411,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter
X98106,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
U38906,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
L33769,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
KP027200,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KP027199,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KP027205,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KP162168,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus
KP027201,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
KP027206,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium
LN610572,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
LN610573,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
LN610574,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
LN610575,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
LN610576,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
